trial_id,site_id,item_code,item_name,visit_name,protocol_day,service_type,payer_route,routing_reason,evidence_required,auto_route_allowed,human_confirm_required,block_if,demo_expected_decision,protocol_basis,notes
CTJ301UC201,SITE-PARIS-01,VISIT_FEE_V3,Visit 3 site fee,Visit 3,14,site_operations,SPONSOR,Research site visit cost tied to protocol Visit 3 / Day 14.,EDC visit completed; within visit window; payment schedule line exists; no prior duplicate,true,false,Visit not completed; outside window without exception; duplicate site fee,AUTO_ROUTE_TO_SPONSOR,Visits 3-7 are treatment-period visits; Visit 3 is Week 2 / Day 14 in the trial flow.,Core clean-pass demo row.
CTJ301UC201,SITE-PARIS-01,IMP_INFUSION_V3,TJ301/placebo IV infusion administration,Visit 3,14,research_intervention,SPONSOR,Investigational product administration is research-specific and scheduled by protocol.,Protocol Day 14 IMP administration; EDC visit completed; infusion administration record; amount matches budget; no duplicate,true,false,No infusion record; wrong visit/day; duplicate infusion charge,AUTO_ROUTE_TO_SPONSOR,"TJ301/placebo administrations occur on Days 0, 14, 28, 42, 56, and 70.",Strong sponsor-routed item.
CTJ301UC201,SITE-PARIS-01,PK_SAMPLE_V3,PK blood sample,Visit 3,14,research_only_lab,SPONSOR_IF_PK_SUBGROUP,"PK sampling is research-only, but only applies to patients assigned/consented to PK substudy.",Patient pk_substudy=true; PK sample recorded in EDC/source; payment schedule line exists; no duplicate,conditional,true,Patient not in PK subgroup; no PK sample record; missing consent/subgroup evidence,HOLD_FOR_REVIEW,PK is assessed in a subgroup of patients and blood samples are collected according to PK schedule.,Demo row for subgroup condition failure: P-104 is mocked as pk_substudy=false.
CTJ301UC201,SITE-PARIS-01,ENDOSCOPY_V3,Endoscopy with biopsy,Visit 3,14,procedure,HOLD,Endoscopy is not routinely sponsor-billable at Visit 3 in this demo; protocol support is insufficient for auto-routing.,Explicit unscheduled procedure authorization; PI/CRC note; sponsor approval if research-related; clinical justification if routine care,false,true,No authorization; no EDC/source evidence; no payer rule,HOLD_FOR_REVIEW,"Disease activity assessments occur at Visits 1-8, but endoscopy/biopsy is described for Screening and Visit 8 / Week 12.",Demo row for protocol mismatch / ambiguous payer.
CTJ301UC201,SITE-PARIS-01,ADMIN_FEE,Administrative processing fee,Any,,site_operations,SPONSOR,Contracted site administrative cost; billable once per completed visit.,Completed visit; payment schedule line exists; prior ledger shows not already paid for same patient/visit,true,false,Duplicate admin fee for same patient and visit; missing completed visit,HOLD_FOR_REVIEW,Not protocol-clinical; mocked CTA/budget rule for site operations.,Demo row should be held because prior_payment_ledger shows P-104 Visit 3 admin fee already paid.
CTJ301UC201,SITE-PARIS-01,DISEASE_ASSESS_V3,Clinical disease activity assessment,Visit 3,14,protocol_assessment,SPONSOR,Protocol-required disease activity assessment during treatment period.,EDC/source record; Visit 3 completed; payment schedule line; no duplicate,true,false,No assessment record; duplicate,AUTO_ROUTE_TO_SPONSOR,Clinical assessments of disease activity take place at Visit 3 / Week 2 and other scheduled visits.,"Already paid in demo prior ledger, so can also be used to test duplicate behavior if invoiced again."
CTJ301UC201,SITE-PARIS-01,SAFETY_LAB_V3,Clinical safety laboratory test,Visit 3,14,protocol_safety_assessment,SPONSOR,Safety laboratory testing is protocol-required during treatment visits.,Lab result/source record; completed Visit 3; payment schedule line; no duplicate,true,false,No lab result/source evidence; duplicate,AUTO_ROUTE_TO_SPONSOR,Clinical laboratory tests are collected during treatment-period visits as indicated in the protocol schedule.,Optional clean-pass row.
CTJ301UC201,SITE-PARIS-01,ECG_V3,12-lead ECG,Visit 3,14,protocol_safety_assessment,SPONSOR,ECG is a protocol safety assessment during treatment visits.,ECG source record; completed Visit 3; payment schedule line; no duplicate,true,false,No ECG source record; duplicate; outside visit window without exception,AUTO_ROUTE_TO_SPONSOR_IF_INVOICED,12-lead ECG is listed as collected across scheduled visits in the time and events schedule.,Useful if team wants a true protocol-supported ECG example.
CTJ301UC201,SITE-PARIS-01,ENDOSCOPY_V8,Endoscopy with mucosal biopsy,Visit 8,84,protocol_endpoint_assessment,SPONSOR,Protocol-supported endpoint assessment at End-of-Treatment / Week 12.,Visit 8 completed; endoscopy/source record; biopsy/source record if billed; payment schedule line; no duplicate,true,false,Visit 8 not completed; no procedure record; duplicate,AUTO_ROUTE_TO_SPONSOR,Endoscopy and biopsies are collected during Screening and Visit 8 / Week 12.,Contrast row for ENDOSCOPY_V3.
CTJ301UC201,SITE-PARIS-01,ROUTINE_UC_MED,Stable conventional UC medication,Any,,routine_care,ROUTINE_PAYER,"Stable conventional UC therapy is background care, not a research-only procedure in this mock grid.",Medication is clinically indicated; not prohibited by protocol; payer policy allows routine cost; not included in sponsor budget,conditional,true,Medication is prohibited; consent says free; sponsor budget already covers same item,FINANCE_CONFIRM,Patients should remain on stable conventional UC treatment during the double-blind period and follow-up.,Routine payer example for 'who pays?' story.
CTJ301UC201,SITE-PARIS-01,UNDEFINED_REMOTE_MONITORING,Remote monitoring fee,Any,,unknown,POLICY_GAP,No supporting rule in mocked coverage grid or budget.,CTA/budget amendment or billing policy rule required before routing,false,true,No contract/billing rule exists,POLICY_GAP,Not found in extracted protocol/mock payment evidence.,Optional demo row to show policy gap ticket.
